,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,1100015.0,Alta Floresta D'Oeste,11.0,RO,482.8985507246377,521.6573333333333,499.21599999999995,534.9927536231884,656.5333333333333
1,1100023.0,Ariquemes,11.0,RO,487.7371681415929,514.8158176943699,504.60670241286863,535.3831858407079,613.3512064343164
2,1100031.0,Cabixi,11.0,RO,464.8705882352941,437.4789473684211,429.7421052631579,489.95294117647063,436.8421052631579
3,1100049.0,Cacoal,11.0,RO,488.03771186440673,513.4146,506.0288,534.8052966101695,602.28
4,1100056.0,Cerejeiras,11.0,RO,487.975,518.408695652174,490.5739130434783,535.2075,609.5652173913044
5,1100064.0,Colorado do Oeste,11.0,RO,502.3297520661157,517.86875,509.19140625,537.5909090909091,638.125
6,1100072.0,Corumbiara,11.0,RO,479.36499999999995,504.92857142857144,492.60952380952375,456.65,534.2857142857143
7,1100080.0,Costa Marques,11.0,RO,452.3820512820513,462.9953488372093,451.31162790697675,450.25897435897434,492.09302325581393
8,1100098.0,Espigão D'Oeste,11.0,RO,465.91582733812953,480.9451612903226,465.7445161290322,490.2712230215827,530.7096774193549
9,1100106.0,Guajará-Mirim,11.0,RO,462.71764705882356,469.40627615062766,460.2836820083682,471.71538461538466,474.64435146443515
10,1100114.0,Jaru,11.0,RO,467.2762626262626,499.7830188679245,492.57877358490566,510.33838383838383,596.1320754716982
11,1100122.0,Ji-Paraná,11.0,RO,484.3503144654088,510.97888446215137,503.69223107569724,524.4207547169812,606.8127490039841
12,1100130.0,Machadinho D'Oeste,11.0,RO,466.7848101265823,492.1,474.94216867469873,499.9392405063291,560.9638554216867
13,1100148.0,Nova Brasilândia D'Oeste,11.0,RO,446.7185185185185,471.5464285714285,459.9178571428571,489.25925925925924,555.0
14,1100155.0,Ouro Preto do Oeste,11.0,RO,486.12018348623855,515.2194690265487,511.37433628318587,527.7761467889908,628.141592920354
15,1100189.0,Pimenta Bueno,11.0,RO,469.28333333333336,488.52337662337663,487.5688311688312,502.25208333333336,572.4675324675325
16,1100205.0,Porto Velho,11.0,RO,480.54125519150904,508.83965367965374,497.9665800865801,514.4566682048916,605.2987012987013
17,1100254.0,Presidente Médici,11.0,RO,465.4315789473684,486.3247619047619,476.0152380952381,490.78631578947363,528.1904761904761
18,1100262.0,Rio Crespo,11.0,RO,463.54,513.35625,479.01875,518.44,603.75
19,1100288.0,Rolim de Moura,11.0,RO,484.7578947368421,514.9,499.76272727272726,521.0540669856459,620.7272727272727
20,1100296.0,Santa Luzia D'Oeste,11.0,RO,482.453125,513.2647058823529,486.5,505.609375,624.1176470588235
21,1100304.0,Vilhena,11.0,RO,490.5109144542773,516.486170212766,505.92712765957447,544.4938053097345,606.1702127659574
22,1100320.0,São Miguel do Guaporé,11.0,RO,455.22272727272724,471.66326530612247,459.68979591836734,493.9704545454546,576.734693877551
23,1100338.0,Nova Mamoré,11.0,RO,456.8883116883117,472.56976744186045,449.4895348837209,465.364935064935,455.1162790697674
24,1100346.0,Alvorada D'Oeste,11.0,RO,471.075,511.2071428571429,459.30357142857144,497.4708333333333,589.2857142857143
25,1100379.0,Alto Alegre dos Parecis,11.0,RO,472.63428571428574,476.1921052631579,464.0842105263158,495.86285714285714,527.3684210526316
26,1100403.0,Alto Paraíso,11.0,RO,460.31,470.1088235294118,458.6264705882353,502.67,530.5882352941177
27,1100452.0,Buritis,11.0,RO,476.62272727272733,507.02947368421053,497.3147368421053,513.3045454545455,577.2631578947369
28,1100502.0,Novo Horizonte do Oeste,11.0,RO,484.5761904761905,508.4391304347826,493.5652173913044,520.6666666666666,556.5217391304348
29,1100601.0,Cacaulândia,11.0,RO,445.95454545454544,485.90909090909093,456.0181818181818,466.44545454545454,616.3636363636364
30,1100700.0,Campo Novo de Rondônia,11.0,RO,463.1388888888889,488.4631578947368,466.4947368421052,484.2444444444444,580.0
31,1100809.0,Candeias do Jamari,11.0,RO,447.01025641025643,471.5325581395349,450.93953488372097,476.5076923076923,395.3488372093023
32,1100908.0,Castanheiras,11.0,RO,467.03000000000003,456.85833333333335,448.35833333333335,474.66999999999996,481.6666666666667
33,1100924.0,Chupinguaia,11.0,RO,443.9555555555555,464.27619047619044,442.07142857142856,461.69444444444446,387.6190476190476
34,1100940.0,Cujubim,11.0,RO,443.7111111111111,481.1555555555555,460.45000000000005,468.0222222222222,446.6666666666667
35,1101005.0,Governador Jorge Teixeira,11.0,RO,448.75952380952384,464.93636363636364,468.53409090909093,489.41904761904766,490.45454545454544
36,1101104.0,Itapuã do Oeste,11.0,RO,445.3962962962963,466.89666666666665,454.62666666666667,473.8777777777778,426.6666666666667
37,1101203.0,Ministro Andreazza,11.0,RO,463.3451612903226,480.4235294117647,463.3735294117647,488.01290322580644,550.5882352941177
38,1101302.0,Mirante da Serra,11.0,RO,469.27250000000004,495.66499999999996,481.7225,504.65,620.0
39,1101401.0,Monte Negro,11.0,RO,476.2217391304348,466.2166666666667,435.5125,467.0913043478261,483.3333333333333
40,1101435.0,Nova União,11.0,RO,449.02727272727276,511.1,483.43636363636364,470.44545454545454,649.0909090909091
41,1101450.0,Parecis,11.0,RO,512.2181818181817,517.4,516.9272727272727,464.3363636363636,596.3636363636364
42,1101468.0,Pimenteiras do Oeste,11.0,RO,452.6333333333334,487.1333333333334,455.6333333333334,519.0666666666667,400.0
43,1101476.0,Primavera de Rondônia,11.0,RO,,377.0,346.4,,0.0
44,1101484.0,São Felipe D'Oeste,11.0,RO,465.8454545454546,516.3272727272728,476.58181818181816,519.1545454545454,589.0909090909091
45,1101492.0,São Francisco do Guaporé,11.0,RO,473.6515151515151,501.9428571428571,489.1542857142858,522.4333333333333,650.8571428571429
46,1101500.0,Seringueiras,11.0,RO,463.9189189189189,498.548717948718,476.8666666666667,498.79189189189185,637.4358974358975
47,1101559.0,Teixeirópolis,11.0,RO,468.2384615384616,488.2769230769231,481.2923076923077,446.1,598.4615384615385
48,1101609.0,Theobroma,11.0,RO,479.96,530.5,502.1066666666667,487.68666666666667,532.0
49,1101708.0,Urupá,11.0,RO,468.951724137931,462.5,447.38666666666666,472.8206896551724,558.0
50,1101757.0,Vale do Anari,11.0,RO,434.00714285714287,496.13571428571424,485.5214285714286,497.65000000000003,597.1428571428571
51,1101807.0,Vale do Paraíso,11.0,RO,463.74,480.99411764705883,474.9588235294118,492.5866666666667,431.7647058823529
52,1200013.0,Acrelândia,12.0,AC,462.50249999999994,498.18222222222226,481.7511111111111,490.4325,509.3333333333333
53,1200054.0,Assis Brasil,12.0,AC,457.1107142857143,480.55,445.0607142857143,480.90000000000003,486.42857142857144
54,1200104.0,Brasiléia,12.0,AC,476.9723076923077,510.8471428571429,506.3471428571429,508.04923076923075,581.7142857142857
55,1200138.0,Bujari,12.0,AC,454.73333333333335,445.65555555555557,476.5111111111112,459.0111111111112,466.6666666666667
56,1200179.0,Capixaba,12.0,AC,467.55,488.49615384615385,478.9576923076923,477.0291666666667,532.3076923076923
57,1200203.0,Cruzeiro do Sul,12.0,AC,468.2640591966173,486.88651911468816,473.3939637826962,493.91035940803386,558.148893360161
58,1200252.0,Epitaciolândia,12.0,AC,473.03333333333336,477.9951612903226,473.9483870967742,504.73725490196074,509.03225806451616
59,1200302.0,Feijó,12.0,AC,462.57948717948716,469.2352941176471,457.24117647058824,481.33076923076925,467.84313725490193
60,1200328.0,Jordão,12.0,AC,458.2076923076923,467.18125,440.96875,502.33076923076925,493.75
61,1200336.0,Mâncio Lima,12.0,AC,441.40983606557376,471.16515151515154,454.5439393939394,480.59999999999997,559.3939393939394
62,1200344.0,Manoel Urbano,12.0,AC,440.375,465.81666666666666,486.84166666666664,466.7166666666667,555.0
63,1200351.0,Marechal Thaumaturgo,12.0,AC,452.9875,455.75625,428.165625,455.784375,481.25
64,1200385.0,Plácido de Castro,12.0,AC,463.9575757575758,482.44444444444446,468.97499999999997,466.43030303030304,520.0
65,1200393.0,Porto Walter,12.0,AC,454.5057142857143,467.38139534883726,448.35348837209307,471.5057142857143,457.2093023255814
66,1200401.0,Rio Branco,12.0,AC,488.85582468281433,518.7570955273329,506.2505245720596,528.4092272202998,632.4461623412479
67,1200427.0,Rodrigues Alves,12.0,AC,448.0230769230769,437.9392857142857,437.8357142857143,447.4153846153846,528.5714285714286
68,1200435.0,Santa Rosa do Purus,12.0,AC,491.92857142857144,476.8142857142857,506.2857142857143,489.2714285714286,597.1428571428571
69,1200450.0,Senador Guiomard,12.0,AC,466.3239130434783,475.62545454545455,463.5472727272727,475.1152173913043,510.1818181818182
70,1200500.0,Sena Madureira,12.0,AC,463.6675,482.9943181818182,495.1181818181818,503.99625,612.0454545454545
71,1200609.0,Tarauacá,12.0,AC,452.99844961240314,477.80410958904105,464.1568493150684,482.2387596899225,562.054794520548
72,1200708.0,Xapuri,12.0,AC,472.08,476.3090909090909,464.7218181818182,473.28,528.3636363636364
73,1200807.0,Porto Acre,12.0,AC,452.9,484.44102564102565,475.35128205128206,469.58378378378376,578.974358974359
74,1300029.0,Alvarães,13.0,AM,439.8868852459016,451.6929577464789,428.9450704225352,441.044262295082,478.3098591549296
75,1300060.0,Amaturá,13.0,AM,435.7083333333333,454.6730769230769,430.65,442.35833333333335,428.46153846153845
76,1300086.0,Anamã,13.0,AM,448.6644444444445,458.35818181818183,447.59818181818184,458.5866666666667,458.90909090909093
77,1300102.0,Anori,13.0,AM,451.12307692307695,478.94406779661017,457.1593220338983,475.17115384615386,496.6101694915254
78,1300144.0,Apuí,13.0,AM,481.32222222222225,510.2133333333333,481.09333333333336,533.8444444444444,473.3333333333333
79,1300201.0,Atalaia do Norte,13.0,AM,430.7035087719298,430.15588235294115,416.52058823529416,420.3666666666667,373.52941176470586
80,1300300.0,Autazes,13.0,AM,453.8320512820513,465.50555555555553,442.2033333333334,480.7833333333333,425.77777777777777
81,1300409.0,Barcelos,13.0,AM,479.0962962962963,485.0933333333333,479.46666666666664,469.8666666666667,562.6666666666666
